Código;Tipo de foco;Pais;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
2021/12  ;Primario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Gelves;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;6;0;28/09/2021
2021/43  ;Secundario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);;Real de la Jara, El;Sevilla;Lengua azul;1;04;Ovinos;321;5;28/09/2021
2021/42  ;Primario;España;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS;;Jerez de los Caballeros;Badajoz;Lengua azul;1;04;Bovinos;137;0;27/09/2021
2021/41  ;Secundario;España;EXTREMADURA;BADAJOZ;ZAFRA;;Montemolín;Badajoz;Lengua azul;1;04;Ovinos;1200;10;27/09/2021
2021/18  ;Secundario;España;EXTREMADURA;CÁCERES;LOGROSAN (ZORITA);;Logrosán;Badajoz;Carbunco bacteridiano;1;;Bovinos;254;1;24/09/2021
2021/17  ;Secundario;España;EXTREMADURA;BADAJOZ;MERIDA;;Mérida;Badajoz;Carbunco bacteridiano;1;;Bovinos;86;2;24/09/2021
2021/16  ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Bovinos;155;3;24/09/2021
2021/15  ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Casas de Don Pedro;Badajoz;Carbunco bacteridiano;1;;Bovinos;143;1;24/09/2021
2021/14  ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Casas de Don Pedro;Badajoz;Carbunco bacteridiano;1;;Bovinos;167;1;24/09/2021
2021/13  ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Casas de Don Pedro;Badajoz;Carbunco bacteridiano;1;;Bovinos;153;2;22/09/2021
2021/12  ;Secundario;España;EXTREMADURA;CÁCERES;LOGROSAN (ZORITA);;Logrosán;Badajoz;Carbunco bacteridiano;1;;Bovinos;56;1;22/09/2021
2021/11  ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Acedera;Badajoz;Carbunco bacteridiano;1;;Bovinos;721;3;22/09/2021
2021/9   ;Primario;España;CATALUÑA;TARRAGONA;BAIX CAMP (REUS);;Cambrils;Tarragona;Fiebre del Nilo Occidental (West Nile);1;;Silvestres (salvo jabalíes y aves);1;1;20/09/2021
2021/11  ;Primario;España;CATALUÑA;LLEIDA;SEGRIA (LLEIDA);;Lleida;Lleida;Fiebre del Nilo Occidental (West Nile);1;;Silvestres (salvo jabalíes y aves);1;1;20/09/2021
2021/10  ;Primario;España;CATALUÑA;TARRAGONA;BAIX CAMP (REUS);;Vinyols i els Arcs;Tarragona;Fiebre del Nilo Occidental (West Nile);1;;Silvestres (salvo jabalíes y aves);1;1;20/09/2021
2021/10  ;Secundario;España;EXTREMADURA;CÁCERES;LOGROSAN (ZORITA);;Logrosán;Badajoz;Carbunco bacteridiano;1;;Bovinos;128;1;20/09/2021
2021/9   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Bovinos;139;1;20/09/2021
2021/8   ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Talarrubias;Badajoz;Carbunco bacteridiano;1;;Bovinos;61;1;20/09/2021
2021/40  ;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Ronquillo, El;Sevilla;Lengua azul;1;04;Ovinos;108;5;17/09/2021
2021/39  ;Secundario;España;ANDALUCÍA;HUELVA;ARACENA (SIERRA ORIENTAL);;Granada de Río-Tinto, La;Huelva;Lengua azul;1;04;Ovinos;422;14;17/09/2021
2021/7   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Bovinos;321;2;13/09/2021
2021/6   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Bovinos;497;1;13/09/2021
2021/5   ;Secundario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Talarrubias;Badajoz;Carbunco bacteridiano;1;;Bovinos;99;1;13/09/2021
2021/38  ;Secundario;España;BALEARES;BALEARES;PALMA;;Fornalutx;Palma De Mallorca;Lengua azul;1;04;Ovinos;44;6;09/09/2021
2021/37  ;Secundario;España;BALEARES;BALEARES;CAMPOS;;Campos;Palma De Mallorca;Lengua azul;2;04;Bovinos, Ovinos;14 / 47;1 / 7;09/09/2021
2021/36  ;Secundario;España;BALEARES;BALEARES;MANACOR;;Manacor;Palma De Mallorca;Lengua azul;1;04;Ovinos;32;5;06/09/2021
2021/4   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Equidos;2;1;13/09/2021
2021/8   ;Primario;España;CATALUÑA;TARRAGONA;BAIX CAMP (REUS);;Riudoms;Tarragona;Fiebre del Nilo Occidental (West Nile);1;;Equidos;26;0;10/09/2021
2021/3   ;Secundario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Equidos;4;1;10/09/2021
2021/2   ;Primario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Navalvillar de Pela;Badajoz;Carbunco bacteridiano;1;;Equidos;3;1;06/09/2021
2021/7   ;Primario;España;CATALUÑA;LLEIDA;SEGRIA (LLEIDA);;Lleida;Lleida;Fiebre del Nilo Occidental (West Nile);2;;Aves de corral, Silvestres (salvo jabalíes y aves);0;0;07/09/2021
2021/6   ;Primario;España;CATALUÑA;TARRAGONA;BAIX CAMP (REUS);;Vinyols i els Arcs;Tarragona;Fiebre del Nilo Occidental (West Nile);1;;Equidos;260;0;07/09/2021
2021/35  ;Secundario;España;ANDALUCÍA;HUELVA;CORTEGANA (SIERRA OCCIDENTAL);;Aroche;Huelva;Lengua azul;1;04;Ovinos;456;25;06/09/2021
2021/34  ;Secundario;España;ANDALUCÍA;HUELVA;CORTEGANA (SIERRA OCCIDENTAL);;Encinasola;Huelva;Lengua azul;1;04;Ovinos;458;13;06/09/2021
2021/29  ;Secundario;España;BALEARES;BALEARES;PALMA;;Puigpunyent;Palma De Mallorca;Lengua azul;1;04;Ovinos;24;2;20/08/2021
2021/1   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;MALAGÓN;;Ciudad Real;Ciudad Real;Carbunco bacteridiano;1;;Bovinos;339;25;01/09/2021
2021/5   ;Primario;España;ANDALUCÍA;HUELVA;CARTAYA (COSTA OCCIDENTAL);;Lepe;Huelva;Fiebre del Nilo Occidental (West Nile);1;;Equidos;1;1;01/09/2021
2021/16  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;MORA;;Orgaz;Toledo;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;143 / 709;0 / 2;31/08/2021
2021/33  ;Secundario;España;BALEARES;BALEARES;PALMA;;Santa María del Camí;Palma De Mallorca;Lengua azul;1;04;Ovinos;76;7;26/08/2021
2021/32  ;Secundario;España;BALEARES;BALEARES;INCA;;Consell;Palma De Mallorca;Lengua azul;1;04;Ovinos;60;2;25/08/2021
2021/31  ;Secundario;España;BALEARES;BALEARES;PALMA;;Esporles;Palma De Mallorca;Lengua azul;1;04;Ovinos;47;1;25/08/2021
2021/30  ;Secundario;España;BALEARES;BALEARES;CAMPOS;;Algaida;Palma De Mallorca;Lengua azul;1;04;Ovinos;42;7;20/08/2021
2021/4   ;Primario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Aznalcázar;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;20;1;30/08/2021
2021/28  ;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Granado, El;Huelva;Lengua azul;1;04;Caprinos;138;0;23/08/2021
2021/27  ;Primario;España;ANDALUCÍA;HUELVA;CORTEGANA (SIERRA OCCIDENTAL);;Rosal de la Frontera;Huelva;Lengua azul;1;04;Ovinos;391;7;23/08/2021
2021/2   ;Primario;España;EXTREMADURA;CÁCERES;PLASENCIA;;Villar de Plasencia;Badajoz;Encefalopatía espongiforme bovina;1;;Bovinos;107;1;12/08/2021
2021/26  ;Secundario;España;BALEARES;BALEARES;PALMA;;Santa María del Camí;Palma De Mallorca;Lengua azul;2;04;Caprinos, Ovinos;68 / 9;0 / 3;16/08/2021
2021/25  ;Secundario;España;BALEARES;BALEARES;INCA;;Santa Margalida;Palma De Mallorca;Lengua azul;1;04;Ovinos;163;1;16/08/2021
2021/24  ;Secundario;España;BALEARES;BALEARES;PALMA;;Marratxí;Palma De Mallorca;Lengua azul;2;04;Caprinos, Ovinos;13 / 4;0 / 1;18/08/2021
2021/2   ;Primario;España;ANDALUCÍA;HUELVA;CARTAYA (COSTA OCCIDENTAL);;Gibraleón;Huelva;Fiebre del Nilo Occidental (West Nile);1;;Equidos;29;1;17/08/2021
2021/23  ;Secundario;España;BALEARES;BALEARES;PALMA;;Andratx;Palma De Mallorca;Lengua azul;1;04;Ovinos;4;2;30/07/2021
2021/3   ;Primario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Aznalcázar;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;5;1;17/08/2021
2021/22  ;Secundario;España;BALEARES;BALEARES;INCA;;Maria de la Salut;Palma De Mallorca;Lengua azul;1;04;Ovinos;113;2;09/08/2021
2021/21  ;Secundario;España;BALEARES;BALEARES;INCA;;Santa Margalida;Palma De Mallorca;Lengua azul;1;04;Ovinos;53;1;04/08/2021
2021/20  ;Secundario;España;BALEARES;BALEARES;PALMA;;Santa María del Camí;Palma De Mallorca;Lengua azul;1;04;Ovinos;72;4;30/07/2021
2021/19  ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Bovinos;31;2;16/07/2021
2021/18  ;Secundario;España;BALEARES;BALEARES;INCA;;Escorca;Palma De Mallorca;Lengua azul;1;04;Ovinos;209;11;16/07/2021
2021/17  ;Secundario;España;BALEARES;BALEARES;PALMA;;Bunyola;Palma De Mallorca;Lengua azul;1;04;Ovinos;130;8;26/07/2021
2021/6   ;Primario;España;ANDALUCÍA;SEVILLA;MARCHENA (SERRANÍA SUDOESTE);;Morón de la Frontera;Sevilla;Enfermedad de Aujeszky;1;;Porcinos;119;0;23/07/2021
2021/5   ;Primario;España;ANDALUCÍA;SEVILLA;MARCHENA (SERRANÍA SUDOESTE);;Morón de la Frontera;Sevilla;Enfermedad de Aujeszky;1;;Porcinos;99;0;23/07/2021
2021/16  ;Secundario;España;BALEARES;BALEARES;INCA;;Selva;Palma De Mallorca;Lengua azul;1;04;Ovinos;15;1;12/07/2021
2021/15  ;Secundario;España;BALEARES;BALEARES;INCA;;Inca;Palma De Mallorca;Lengua azul;1;04;Ovinos;403;4;02/07/2021
2021/13  ;Secundario;España;BALEARES;BALEARES;INCA;;Sineu;Palma De Mallorca;Lengua azul;1;04;Ovinos;141;1;02/07/2021
2021/12  ;Secundario;España;BALEARES;BALEARES;INCA;;Escorca;Palma De Mallorca;Lengua azul;1;04;Ovinos;147;1;01/07/2021
2021/9   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;360;0;07/07/2021
2021/8   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;3988;0;07/07/2021
2021/11  ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Ovinos;86;3;30/06/2021
2021/10  ;Secundario;España;BALEARES;BALEARES;INCA;;Alcúdia;Palma De Mallorca;Lengua azul;1;04;Ovinos;242;1;30/06/2021
2021/9   ;Secundario;España;BALEARES;BALEARES;INCA;;Inca;Palma De Mallorca;Lengua azul;1;04;Ovinos;17;1;30/06/2021
2021/8   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Ovinos;103;2;30/06/2021
2021/7   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Ovinos;15;1;30/06/2021
2021/6   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;3;04;Bovinos, Caprinos, Ovinos;1 / 10 / 57;0 / 3;30/06/2021
2021/5   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;2;04;Caprinos, Ovinos;181 / 5;0 / 1;30/06/2021
2021/4   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Ovinos;72;5;30/06/2021
2021/3   ;Secundario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Ovinos;114;3;30/06/2021
2021/2   ;Primario;España;BALEARES;BALEARES;INCA;;Pollença;Palma De Mallorca;Lengua azul;1;04;Bovinos;4;0;23/06/2021
2021/1   ;Primario;España;ANDALUCÍA;CÁDIZ;CAMPO DE GIBRALTAR;;Tarifa;Cádiz;Fiebre del Nilo Occidental (West Nile);1;;Equidos;66;0;30/06/2021
2021/15  ;Primario;España;CASTILLA Y LEÓN;ZAMORA;ZAMORA;;Zamora;Zamora;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;1735;1;08/06/2021
2021/4   ;Primario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);;Espiel;Córdoba;Enfermedad de Aujeszky;1;;Porcinos;899;0;04/06/2021
2021/7   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;530;0;24/05/2021
2021/6   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;48;0;24/05/2021
2021/5   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;658;0;24/05/2021
2021/4   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;114;0;24/05/2021
2021/3   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Sarrión;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;336;0;24/05/2021
2021/2   ;Secundario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Sarrión;Teruel;Brucella melitensis (Inf. por);1;Brucella melitensis;Ovinos;336;0;24/05/2021
2021/14  ;Primario;España;CASTILLA Y LEÓN;LEÓN;LEON;;Gradefes;León;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;977;1;29/04/2021
2021/1   ;Primario;España;ARAGÓN;TERUEL;MORA DE RUBIELOS;;Puebla de Valverde, La;Teruel;Brucella melitensis (Inf. por);2;Brucella melitensis;Caprinos, Ovinos;1300 / 99;0;17/05/2021
2021/3   ;Primario;España;ANDALUCÍA;CÁDIZ;SIERRA DE CÁDIZ;;Ubrique;Cádiz;Enfermedad de Aujeszky;1;;Porcinos;55;0;07/05/2021
2021/2   ;Primario;España;ANDALUCÍA;CÁDIZ;SIERRA DE CÁDIZ;;Benaocaz;Cádiz;Enfermedad de Aujeszky;1;;Porcinos;66;0;07/05/2021
2021/13  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;GALVEZ;;San Martín de Montalbán;Toledo;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;270 / 600;0 / 1;27/04/2021
2021/12  ;Primario;España;CASTILLA LA MANCHA;ALBACETE;ALCARAZ;;Bienservida;Albacete;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;530;1;13/04/2021
2021/11  ;Primario;España;CANARIAS;LAS PALMAS;LAS PALMAS;;Tuineje;Las Palmas;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;101 / 1733;0 / 1;20/04/2021
2021/10  ;Primario;España;CASTILLA LA MANCHA;CUENCA;BELMONTE;;Pedroñeras, Las;Cuenca;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;37;1;18/03/2021
2021/1   ;Primario;España;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS;;Zahínos;Badajoz;Encefalopatía espongiforme bovina;1;;Bovinos;45;1;25/03/2021
2021/9   ;Primario;España;CASTILLA Y LEÓN;ÁVILA;EL BARRACO;;Barraco, El;Ávila;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;463;1;30/03/2021
2021/8   ;Primario;España;ANDALUCÍA;MÁLAGA;VELEZ-MALAGA (AXARQUÍA/COSTA DE MÁLAGA);;Canillas de Aceituno;Málaga;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;40 / 401;0 / 1;18/03/2021
2020/19  ;Primario;España;ARAGÓN;ZARAGOZA;ALAGÓN;;Joyosa, La;Zaragoza;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;900;2;30/09/2020
2020/18  ;Primario;España;ARAGÓN;ZARAGOZA;TAUSTE;;Tauste;Zaragoza;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;250;1;03/03/2020
2020/17  ;Primario;España;CASTILLA Y LEÓN;VALLADOLID;VILLALON DE CAMPOS;;Gatón de Campos;Valladolid;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;852;1;25/11/2020
2020/16  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;PIEDRABUENA;;Robledo, El;Ciudad Real;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;2794;1;17/12/2020
2020/15  ;Primario;España;CASTILLA LA MANCHA;ALBACETE;ALCARAZ;;Robledo;Albacete;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;658;1;29/12/2020
2020/14  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;ALMADEN;;Guadalmez;Ciudad Real;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;600;1;14/12/2020
2021/7   ;Primario;España;CASTILLA Y LEÓN;VALLADOLID;MEDINA DE RIOSECO;;Montealegre de Campos;Valladolid;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;471;1;17/03/2021
2021/6   ;Primario;España;CASTILLA LA MANCHA;ALBACETE;HELLÍN;;Hellín;Albacete;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;12 / 60;0 / 1;02/03/2021
2021/5   ;Primario;España;CASTILLA LA MANCHA;TOLEDO;TORRIJOS;;Nombela;Toledo;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;200 / 530;0 / 1;25/02/2021
2021/4   ;Primario;España;MURCIA;MURCIA;NOROESTE (CARAVACA);;Moratalla;Murcia;Scrapie, Tembladera o Prúrigo Lumbar;2;;Caprinos, Ovinos;14 / 795;0 / 1;28/01/2021
2021/1   ;Secundario;España;ANDALUCÍA;MÁLAGA;ESTEPONA (COSTA DE MALAGA);;Benahavís;Málaga;Lengua azul;1;01;Caprinos;365;0;05/02/2021
2021/2   ;Primario;España;CASTILLA Y LEÓN;ZAMORA;MANGANESES DE LA LAMPREANA;;Villafáfila;Zamora;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5;Silvestres (salvo jabalíes y aves);1000;1;05/02/2021
2021/2   ;Primario;España;BALEARES;BALEARES;INCA;;Inca;Palma De Mallorca;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;124;1;02/02/2021
2021/3   ;Primario;España;BALEARES;BALEARES;INCA;;Sencelles;Palma De Mallorca;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;382;1;02/02/2021
2021/1   ;Primario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Ezkio-Itsaso;San Sebastián;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;34;1;27/01/2021
2021/1   ;Primario;España;ANDALUCÍA;HUELVA;CORTEGANA (SIERRA OCCIDENTAL);;Aroche;Huelva;Enfermedad de Aujeszky;1;;Porcinos;64;0;26/01/2021
2021/1   ;Primario;España;CATALUÑA;GIRONA;ALT EMPORDA (FIGUERES);;Castelló d'Empúries;Girona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5;Silvestres (salvo jabalíes y aves);4;0;21/01/2021
2020/32  ;Secundario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Larrabetzu;Bilbao;Lengua azul;1;08;Bovinos;6;0;22/12/2020
2020/33  ;Secundario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Errigoiti;Bilbao;Lengua azul;1;08;Bovinos;81;0;17/12/2020
2020/1   ;Primario;España;LA RIOJA;LA RIOJA;NAJERA;;Viniegra de Arriba;Logroño;Encefalopatía espongiforme bovina;1;;Bovinos;353;1;23/12/2020
2020/30  ;Secundario;España;ARAGÓN;HUESCA;SABIÑÁNIGO;;Sallent de Gállego;Huesca;Lengua azul;1;08;Bovinos;55;0;22/12/2020
2020/29  ;Secundario;España;ANDALUCÍA;CÁDIZ;LITORAL;;Rota;Cádiz;Lengua azul;1;01;Bovinos;163;0;28/12/2020
2020/28  ;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Villanueva de los Castillejos;Huelva;Lengua azul;1;01;Ovinos;48;5;17/12/2020
2020/27  ;Secundario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Elorrio;Bilbao;Lengua azul;1;08;Bovinos;15;0;11/12/2020
2020/7   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;ALMADEN;;Alamillo;Ciudad Real;Enfermedad de Aujeszky;1;;Porcinos;349;0;09/12/2020
2020/26  ;Secundario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Aia;San Sebastián;Lengua azul;3;08;Bovinos, Caprinos, Ovinos;1178 / 139 / 321;0;16/12/2020
2020/25  ;Secundario;España;ARAGÓN;HUESCA;JACA;;Borau;Huesca;Lengua azul;1;08;Bovinos;158;0;11/12/2020
2020/24  ;Secundario;España;NAVARRA;NAVARRA;ELIZONDO;;Urdazubi/Urdax;Pamplona;Lengua azul;1;08;Bovinos;88;0;11/12/2020
2020/21  ;Secundario;España;NAVARRA;NAVARRA;ELIZONDO;;Baztan;Pamplona;Lengua azul;1;08;Bovinos;90;0;27/11/2020
2020/22  ;Secundario;España;NAVARRA;NAVARRA;SANTESTEBAN;;Urroz;Pamplona;Lengua azul;1;08;Bovinos;7;0;27/11/2020
2020/23  ;Secundario;España;NAVARRA;NAVARRA;ELIZONDO;;Baztan;Pamplona;Lengua azul;1;08;Bovinos;17;0;27/11/2020
2020/20  ;Secundario;España;NAVARRA;NAVARRA;PAMPLONA;;Atez/Atetz;Pamplona;Lengua azul;1;08;Bovinos;398;0;27/11/2020
2020/19  ;Secundario;España;NAVARRA;NAVARRA;OCHAGAVIA;;Jaurrieta;Pamplona;Lengua azul;1;08;Bovinos;70;0;27/11/2020
2020/18  ;Secundario;España;NAVARRA;NAVARRA;OCHAGAVIA;;Hiriberri/Villanueva de Aezkoa;Pamplona;Lengua azul;1;08;Bovinos;45;0;27/11/2020
2020/17  ;Secundario;España;ARAGÓN;HUESCA;JACA;;Ansó;Huesca;Lengua azul;1;08;Bovinos;123;0;04/12/2020
2020/14  ;Secundario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Hernani;San Sebastián;Lengua azul;1;08;Bovinos;1;0;20/11/2020
2020/15  ;Secundario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Irun;San Sebastián;Lengua azul;1;08;Bovinos;1;0;20/11/2020
2020/16  ;Secundario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Hernani;San Sebastián;Lengua azul;1;08;Bovinos;1;0;20/11/2020
2020/1   ;Primario;España;CANTABRIA;CANTABRIA;GAMA (BARCENA DE CICERO);;Noja;Santander;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5;Silvestres (salvo jabalíes y aves);1;1;27/11/2020
2020/12  ;Secundario;España;NAVARRA;NAVARRA;ELIZONDO;;Baztan;Pamplona;Lengua azul;1;08;Bovinos;14;0;26/11/2020
2020/13  ;Secundario;España;NAVARRA;NAVARRA;PAMPLONA;;Odieta;Pamplona;Lengua azul;1;08;Bovinos;541;0;26/11/2020
2020/13  ;Primario;España;NAVARRA;NAVARRA;SANGUESA;;Romanzado;Pamplona;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;1713;1;19/11/2020
2020/8   ;Secundario;España;ANDALUCÍA;CÁDIZ;CAMPO DE GIBRALTAR;;Castellar de la Frontera;Cádiz;Lengua azul;1;01;Bovinos;161;0;20/11/2020
2020/9   ;Secundario;España;ANDALUCÍA;HUELVA;ALMONTE (ENTORNO DE DOÑANA);;Moguer;Huelva;Lengua azul;1;01;Ovinos;58;4;20/11/2020
2020/10  ;Secundario;España;ANDALUCÍA;HUELVA;ALMONTE (ENTORNO DE DOÑANA);;Almonte;Huelva;Lengua azul;1;01;Ovinos;132;4;20/11/2020
2020/11  ;Secundario;España;ANDALUCÍA;HUELVA;ALMONTE (ENTORNO DE DOÑANA);;Almonte;Huelva;Lengua azul;1;01;Ovinos;240;25;20/11/2020
2020/12  ;Primario;España;CASTILLA Y LEÓN;BURGOS;CASTROJERIZ;;Balbases, Los;Burgos;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;336;1;29/10/2020
2020/139 ;Primario;España;VALENCIA;CASTELLÓN;LA PLANA ALTA;;Castellón de la Plana/Castelló de la Plana;Castellón;Fiebre del Nilo Occidental (West Nile);1;;Equidos;79;1;17/11/2020
2020/7   ;Secundario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Zumaia;San Sebastián;Lengua azul;1;08;Bovinos;65;1;17/11/2020
2020/138 ;Primario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Espartinas;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;4;1;12/11/2020
2020/6   ;Primario;España;ANDALUCÍA;HUELVA;ALMONTE (ENTORNO DE DOÑANA);;Palos de la Frontera;Huelva;Lengua azul;1;01;Caprinos;82;0;06/11/2020
2020/137 ;Primario;España;ANDALUCÍA;SEVILLA;ECIJA (LA CAMPIÑA);;Écija;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;24;2;04/11/2020
2020/5   ;Primario;España;ARAGÓN;HUESCA;BOLTAÑA;;Broto;Huesca;Lengua azul;1;08;Bovinos;74;0;03/11/2020
2020/4   ;Primario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Aia;San Sebastián;Lengua azul;1;08;Bovinos;8;0;29/10/2020
